X,Y,Vendor,Neighborhood,Address,Lat,Long,Planned_Install_Date,Original_Pole_Type,Attachment_Or_Replacement,New_Pole_Type,Pole_Identifying_Number,Intended_Commercial_Use,Spectrum,City_Reference,Requester_Email_Address,ObjectId
-7910027.1648663,5208238.82516403,Verizon Wireless,Dorchester,"Pearl St, Dorchester",42.314711,-71.056983,2017/08/15 00:00:00+00,Wood Utility Pole (Not City Owned but In Right of Way),Attachment,Wood Utility Pole Antenna Top Mount (Verizon Exhibit X-4),10,Single Carrier,Licensed,Ver2,MGiaimo@rc.com,1
-7911047.74195789,5217835.918261,Crown Castle,Charlestown,34 Sullivan Street,42.378429,-71.066151,2019/03/30 00:00:00+00,Standard Concrete - Aeriata,Replacement,Standard Concrete Light Pole with Side Mount (Crown Castle X-18),ODAS_N119,Neutral Host,Licensed,Cro894,amanda.cornwall@crowncastle.com,2
-7907973.98817811,5208531.18214361,Verizon Wireless,Dorchester,"Mount Vernon St, Dorchester, MA",42.316653,-71.038539,2018/08/31 00:00:00+00,Wood Utility Pole (Not City Owned but In Right of Way),Attachment,Wood Utility Pole Antenna Top Mount (Verizon Exhibit X-4),48,Single Carrier,Licensed,Ver3,MGiaimo@rc.com,3
-7909518.32347388,5217901.47064522,Crown Castle,Charlestown,Chelsea St at 13th Street,42.378864,-71.052412,2019/04/07 00:00:00+00,Standard Concrete - Aeriata,Replacement,Standard Concrete Light Pole with Side Mount (Crown Castle X-18),ODAS_N108,Neutral Host,Licensed,Cro895,amanda.cornwall@crowncastle.com,4
-7918274.38066121,5215492.30444507,Verizon Wireless,Allston / Brighton,"Spurr St, Allston",42.362875,-71.131069,2018/08/31 00:00:00+00,Wood Utility Pole (Not City Owned but In Right of Way),Attachment,Wood Utility Pole Antenna Top Mount (Verizon Exhibit X-4),192-2,Single Carrier,Licensed,Ver4,MGiaimo@rc.com,5
-7910527.7686164,5217881.57883926,Crown Castle,Charlestown,Polk Street at Bunker Hill Street,42.378732,-71.06148,2019/08/21 00:00:00+00,Standard Concrete - Aeriata,Replacement,Standard Concrete Light Pole with Side Mount (Crown Castle X-18),ODAS_N120,Neutral Host,Licensed,Cro896,amanda.cornwall@crowncastle.com,6
-7909380.62126377,5205624.72372835,Verizon Wireless,Dorchester,"Victory Rd, Dorchester",42.297344,-71.051175,2017/05/04 00:00:00+00,Wood Utility Pole (Not City Owned but In Right of Way),Attachment,Wood Utility Pole Antenna Top Mount (Verizon Exhibit X-4),16-1,Single Carrier,Licensed,Ver5,MGiaimo@rc.com,7
-7910403.42474518,5218125.25634368,Crown Castle,Charlestown,"Medford Street, across from 240 Medford Street at intersection of Medford and Polk",42.380349,-71.060363,2018/08/21 00:00:00+00,Standard Concrete - Cobra,Replacement,Standard Concrete Light Pole (Crown Castle Exhibit X-1),ODAS_N121,Neutral Host,Licensed,Cro897,amanda.cornwall@crowncastle.com,8
-7911290.08448935,5217894.08656085,Crown Castle,Charlestown,Main St at Eden St,42.378815,-71.068328,2019/08/21 00:00:00+00,Standard Concrete - Aeriata,Replacement,Standard Concrete Light Pole with Side Mount (Crown Castle X-18),ODAS_N122,Neutral Host,Licensed,Cro898,amanda.cornwall@crowncastle.com,9
-7905079.34745901,5219672.76249823,Verizon Wireless,East Boston,"Boardman St, East Boston",42.390617,-71.012536,2018/08/31 00:00:00+00,Wood Utility Pole (Not City Owned but In Right of Way),Attachment,Wood Utility Pole Antenna Top Mount (Verizon Exhibit X-4),18-1,Single Carrier,Licensed,Ver6,MGiaimo@rc.com,10
